route_name,index,original_lat,original_lon,sv_lat,sv_lon,heading,pitch,fov,distance_offset_m,image_path
route_1,1,24.97753,121.27721,24.97750664088477,121.277232949096,287.50851839047334,0,90,3.4734020695193606,streetview_images\route_1_001.jpg
route_1,2,24.977651819008706,121.27678399454255,24.97766932850372,121.2767760565117,321.8924106831439,0,90,2.0986479808542877,streetview_images\route_1_002.jpg
route_1,3,24.97792217934692,121.27655006795979,24.97792701431959,121.2765458196943,272.29731936515344,0,90,0.6861759101355748,streetview_images\route_1_003.jpg
route_1,4,24.977938501489437,121.27610120904049,24.97795199280453,121.2761062992392,188.1786722516093,0,90,1.580371886337246,streetview_images\route_1_004.jpg
route_1,5,24.977532736717222,121.2760368746401,24.97752059291289,121.2760224810874,182.94652038491245,0,90,1.9803102895790257,streetview_images\route_1_005.jpg
route_1,6,24.977084303474687,121.27601141155377,24.97707629198145,121.2760304263523,182.94653110538636,0,90,2.1150876416772024,streetview_images\route_1_006.jpg
route_1,7,24.976635870232148,121.27598594846744,24.97659469289399,121.2759887791888,182.94654183153742,0,90,4.570264197043675,streetview_images\route_1_007.jpg
route_1,8,24.97618743698961,121.27596048538112,24.97616972382803,121.2759638083457,182.9465525516923,0,90,1.9906113335405817,streetview_images\route_1_008.jpg
route_1,9,24.975739003747073,121.27593502229479,24.97570014499644,121.2759335988571,182.94656327756607,0,90,4.30688068707191,streetview_images\route_1_009.jpg
route_1,10,24.975290570504534,121.27590955920846,24.97530427026932,121.2759198910808,182.9465739972767,0,90,1.8415405623239467,streetview_images\route_1_010.jpg
route_1,11,24.974842137261994,121.27588409612213,24.97484434124069,121.2758942217375,183.7705704406265,0,90,1.051135291625935,streetview_images\route_1_011.jpg
route_1,12,24.974394174801557,121.27585152839406,24.97439862945414,121.2758548446047,210.64057115680325,0,90,0.5963341807487453,streetview_images\route_1_012.jpg
route_1,13,24.97411,121.27566583351684,24.97410899993152,121.27570336039,262.17344019417646,0,90,3.790753754755131,streetview_images\route_1_013.jpg
route_1,14,24.974054647250036,121.27522160610734,24.97405468963599,121.2752112754502,249.79865012886503,0,90,1.0431102316098972,streetview_images\route_1_014.jpg
route_1,15,24.973913084383355,121.2747971968945,24.97390797500855,121.2747911331657,234.966591277298,0,90,0.8337850547890283,streetview_images\route_1_015.jpg
route_1,16,24.973672224495708,121.2744182055751,24.97366579893268,121.2744215429201,234.79723050485327,0,90,0.7875138687496366,streetview_images\route_1_016.jpg
route_1,17,24.973430230384263,121.27403981478265,24.97342707006019,121.2740399024469,168.94177665508528,0,90,0.350188856973846,streetview_images\route_1_017.jpg
route_1,18,24.97309788202031,121.27411146629363,24.97308093054778,121.2741147288738,146.8597030029224,0,90,1.9064349365438844,streetview_images\route_1_018.jpg
route_1,19,24.97273356286463,121.2743738595612,24.97271781760658,121.2743839988425,144.46475364748858,0,90,2.0224166375475163,streetview_images\route_1_019.jpg
route_1,20,24.97238075489112,121.27465182947972,24.97237535470738,121.2746220106296,145.7867736799201,0,90,3.0697363662816937,streetview_images\route_1_020.jpg
route_1,21,24.97202157410263,121.27492123520453,24.97202012360788,121.2749250689614,148.12603631934792,0,90,0.4191267594341185,streetview_images\route_1_021.jpg
route_1,22,24.971651304285807,121.27517521742851,24.97163391695734,121.275188661845,165.3510191595774,0,90,2.3563737575997226,streetview_images\route_1_022.jpg
route_1,23,24.971222354511394,121.27529890439459,24.97120700526469,121.2752990231817,160.72820364029667,0,90,1.700316086313825,streetview_images\route_1_023.jpg
route_1,24,24.970806390399495,121.27545934014938,24.97084365572962,121.2754520795158,156.7218582481339,0,90,4.192569508108809,streetview_images\route_1_024.jpg
route_1,25,24.970400611648937,121.27565191311575,24.97041771969877,121.2756510611835,156.72178965294847,0,90,1.8970519181703571,streetview_images\route_1_025.jpg
route_1,26,24.969994832898383,121.27584448608212,24.97003960259997,121.2758334534738,156.72172105694403,0,90,5.082831516212466,streetview_images\route_1_026.jpg
route_1,27,24.969589054147825,121.27603705904849,24.96961687015959,121.2760385462378,156.72165246140128,0,90,3.0849044904968776,streetview_images\route_1_027.jpg
route_1,28,24.96918327539727,121.27622963201486,24.96918969821544,121.2762397096741,156.72158386762464,0,90,1.2416477525178449,streetview_images\route_1_028.jpg
route_1,29,24.968777496646712,121.27642220498122,24.96876220255431,121.2764398250428,156.72151527398375,0,90,2.456772157394397,streetview_images\route_1_029.jpg
route_1,30,24.968371717896158,121.27661477794759,24.96833180742514,121.276641249723,156.7214466793605,0,90,5.16624158079685,streetview_images\route_1_030.jpg
route_1,31,24.9679659391456,121.27680735091396,24.96799692979707,121.2767981459513,156.72137809151093,0,90,3.5565155465828293,streetview_images\route_1_031.jpg
route_1,32,24.967560160395045,121.27699992388033,24.96757756749818,121.2769953791434,156.72130950170094,0,90,1.9820843081703223,streetview_images\route_1_032.jpg
route_1,33,24.967154381644487,121.2771924968467,24.96717355696515,121.2771872861104,156.4997075025468,0,90,2.1882946358367468,streetview_images\route_1_033.jpg
route_1,34,24.966749403409768,121.27738674028559,24.9667278932666,121.2773957815868,241.48609065448392,0,90,2.5516482214532887,streetview_images\route_1_034.jpg
route_1,35,24.966600890368063,121.2770851938137,24.96659059523827,121.2770718625763,259.29195535081055,0,90,1.7642781810652497,streetview_images\route_1_035.jpg
route_1,36,24.96652499932642,121.27664249607079,24.96650999609533,121.2766205572165,258.6098115236761,0,90,2.769429571707161,streetview_images\route_1_036.jpg
route_1,37,24.966444698734986,121.27620281446187,24.96644291510575,121.2761955305809,280.7942949779326,0,90,0.7615830029575691,streetview_images\route_1_037.jpg
